Title,Longitude,Latitude
M.Y Food Mart,-8416877.665,5691952.621199999935925
Carson Fresh Grocer,-8419155.341,5691956.365799999795854
Shoppers Drug Mart,-8419133.255,5691963.950000000186265
Korems Food & Variety Store,-8416936.72,5691980.356700000353158
Nick's Confectionary,-8418946.795,5692064.276800000108778
Pronto Food Mart,-8407644.3,5692207.700899999588728
Circle K,-8421295.815,5692230.802799999713898
Circle K,-8415080.668,5692332.275299999862909
Circle K,-8408600.346,5692459.185100000351667
Kool Runnings,-8414306.05,5692563.912399999797344
Food Basics,-8406538.263,5692582.129200000315905
Circle K,-8402735.332,5692768.405399999581277
Walmart Supercentre,-8405577.208,5692856.950699999928474
Shoppers Drug Mart,-8402562.397,5692865.281899999827147
Shoppers Drug Mart,-8415508.068,5692880.784599999897182
Sobeys,-8402962.201,5692992.563699999824166
Pronto Food Mart,-8414539.911,5693069.526399999856949
Circle K,-8405976.511,5693164.010499999858439
Shoppers Drug Mart,-8405496.802,5693258.510800000280142
Mr Gas,-8405179.129,5693448.799899999983609
Real Canadian Superstore,-8403997.584,5693701.112700000405312
Bulk Barn,-8403922.733,5693917.280000000260770
Farm Boy,-8403274.452,5693965.430599999614060
Petro-Canada,-8403636.185,5694119.771599999628961
Your Independent Grocer,-8407304.442,5694162.304899999871850
Rhema's,-8403525.211,5694217.726099999621511
Metro,-8402848.522,5694430.636199999600649
Shell Select,-8403235.847,5694503.739400000311434
Rexall,-8407489.562,5694512.647800000384450
Nicholls General Store,-8468543.463,5694674.814600000157952
Circle K,-8409141.537,5694782.635300000198185
Petro-Canada,-8408984.476,5694878.739699999801815
Lucky R Convenient Store,-8404132.08,5695222.773099999874830
Canadian Tire Gas+,-8403609.892,5695403.088000000454485
L&F Montego Place,-8408346.025,5695464.405299999751151
Shoppers Drug Mart,-8400822.807,5695513.405899999663234
Shoppers Drug Mart,-8403553.842,5695663.567300000227988
Al Basha,-8407714.176,5695669.122499999590218
Sobeys,-8399734.247,5695733.013899999670684
Metro,-8403640.326,5695825.953700000420213
Desi Food Market,-8407414.715,5695908.179800000041723
Circle K,-8399503.726,5696032.505199999548495
Pioneer - Gas Station,-8407165.181,5696052.712399999611080
The Harbour Store,-8484218.889,5696053.580799999646842
Shoppers Drug Mart,-8406452.414,5696635.756000000052154
Shell Select,-8406467.887,5696771.949900000356138
No Frills,-8407139.066,5696815.448599999770522
Baghlan Market,-8404439.489,5697002.908200000412762
Circle K,-8404418.394,5697011.671699999831617
Farm Boy,-8406101.267,5697046.868300000205636
Rexall,-8406366.836,5697137.602400000207126
Petro-Canada,-8405992.764,5697159.127399999648333
Circle K,-8408790.558,5697301.457499999552965
Shoppers Drug Mart,-8408726.549,5697400.462600000202656
Metro,-8408654.525,5697569.850800000131130
FreshCo,-8401822.668,5697877.866600000299513
Quickie,-8401902.128,5697988.087899999693036
Constance Bay General Store,-8468467.398,5698439.779600000008941
Maggy's Mart,-8405915.898,5698589.311300000175834
Mr Gas,-8402380.512,5699113.638899999670684
Waypoint Convenience,-8394765.3,5703407.801099999807775
